Año;Pais;Nombre
2013;Falkland Islands;Cora
2019;Haiti;Jaime
2019;Åland Islands;Iris
2018;Mauritania;Serina
2018;Estonia;Jaquelyn
2017;Faroe Islands;Charles
2019;Taiwan;Joel
2019;Kiribati;Jakeem
2018;Kazakhstan;Jonah
2016;Comoros;Chloe
2016;Tajikistan;Summer
2019;Uganda;Brian
2013;Equatorial Guinea;Tatiana
2015;Kiribati;Amos
2020;Romania;Zachery
2019;Cyprus;Cheryl
2017;Belarus;Adara
2020;Bahrain;Denton
2017;Nauru;Laurel
2017;Nepal;Martena
2018;Nepal;Audra
2018;Armenia;Aspen
2019;San Marino;Daquan
2015;Korea, North;Francis
2012;Sierra Leone;Brenda
2019;Germany;Shana
2020;Micronesia;Rebekah
2016;Vanuatu;Tyler
2013;Mexico;Christopher
2018;Bouvet Island;Gabriel
2013;Paraguay;Nehru
2020;Virgin Islands, United States;Karleigh
2014;Sierra Leone;Rhoda
2013;Germany;Regan
2018;Panama;Cherokee
2018;Nepal;Grace
2017;Syria;Gary
2013;Nicaragua;Karina
2020;French Guiana;Stone
2012;Curaçao;Zenaida
2013;Dominica;Jaden
2018;Taiwan;Jessamine
2014;Denmark;Paki
2017;Solomon Islands;Ivory
2013;Cayman Islands;Scott
2015;Viet Nam;Nero
2015;Andorra;Rana
2014;Germany;Carl
2020;Puerto Rico;Jerry
2020;Iran;Kasimir
2017;Botswana;Ralph
2018;Côte D'Ivoire (Ivory Coast);Xandra
2019;Cape Verde;Quincy
2015;Moldova;Preston
2016;Greece;Donna
2014;Virgin Islands, United States;Burke
2015;Nigeria;Cedric
2016;Norfolk Island;Ahmed
2016;Turkey;Knox
2015;Tuvalu;Jillian
2015;El Salvador;Fatima
2018;Guadeloupe;Graham
2018;Saint Pierre and Miquelon;Lawrence
2013;Senegal;Miriam
2019;Honduras;Sawyer
2014;Virgin Islands, British;Iris
2014;Guinea;August
2019;Niger;Stacey
2018;Greece;Quintessa
2015;China;Dakota
2015;Togo;Chantale
2013;Peru;Ciaran
2015;Venezuela;Hilary
2019;Djibouti;Lael
2020;Uruguay;Tatiana
2011;Botswana;September
2015;Djibouti;Erin
2016;Belarus;Fitzgerald
2012;Macao;Mikayla
2018;Burundi;Xerxes
2016;Grenada;Alana
2015;American Samoa;Abra
2017;Aruba;Macy
2015;Norway;Halee
2017;Slovenia;Harding
2015;Morocco;Willow
2012;Bermuda;Adrienne
2017;Chad;Madeson
2020;Svalbard and Jan Mayen Islands;Hunter
2015;Micronesia;Oscar
2013;Cape Verde;Judah
2020;Congo (Brazzaville);Sylvia
2015;Togo;Ciaran
2015;South Africa;Blaine
2014;Central African Republic;Carson
2012;Cameroon;Darius
2018;Palestine, State of;Drake
2016;Norfolk Island;Kane
2014;Tuvalu;Nigel
2015;Antigua and Barbuda;Driscoll
